territori,tipus_de_territori,any,atur
sant gervasi la bonanova,Barri,2014,8470.0
sant gervasi galvany,Barri,2014,1651.0
el putxet i el farro,Barri,2014,1476.0
vallcarca i els penitents,Barri,2014,9450.0
el coll,Barri,2014,3990.0
la salut,Barri,2014,7930.0
la vila de gracia,Barri,2014,3156.0
el camp den grassot i gracia nova,Barri,2014,1973.0
el baix guinardo,Barri,2014,1523.0
can baro,Barri,2014,5670.0
el guinardo,Barri,2014,2469.0
la font den fargues,Barri,2014,7630.0
el carmel,Barri,2014,2599.0
la teixonera,Barri,2014,7630.0
sant genis dels agudells,Barri,2014,4570.0
montbau,Barri,2014,3300.0
la vall dhebron,Barri,2014,3520.0
la clota,Barri,2014,250.0
horta,Barri,2014,2114.0
vilapicina i la torre llobeta,Barri,2014,1947.0
porta,Barri,2014,1911.0
el turo de la peira,Barri,2014,1206.0
can peguera,Barri,2014,1680.0
la guineueta,Barri,2014,1364.0
canyelles,Barri,2014,6660.0
les roquetes,Barri,2014,1444.0
verdun,Barri,2014,1106.0
la prosperitat,Barri,2014,2147.0
la trinitat nova,Barri,2014,9250.0
torre baro,Barri,2014,2550.0
ciutat meridiana,Barri,2014,133.0
vallbona,Barri,2014,1550.0
la trinitat vella,Barri,2014,1232.0
baro de viver,Barri,2014,1810.0
el bon pastor,Barri,2014,103.0
sant andreu,Barri,2014,4169.0
la sagrera,Barri,2014,1935.0
el congres i els indians,Barri,2014,9420.0
navas,Barri,2014,1452.0
el camp de larpa del clot,Barri,2014,2725.0
el clot,Barri,2014,1876.0
el parc i la llacuna del poblenou,Barri,2014,9160.0
la vila olimpica del poblenou,Barri,2014,6030.0
el poblenou,Barri,2014,2076.0
diagonal mar i el front maritim del poblenou,Barri,2014,9890.0
el besos i el maresme,Barri,2014,2263.0
provencals del poblenou,Barri,2014,1492.0
sant marti de provencals,Barri,2014,206.0
la verneda i la pau,Barri,2014,233.0
no consta,Barri,2014,0.0
el raval,Barri,2015,4368.0
el barri gotic,Barri,2015,1197.0
la barceloneta,Barri,2015,1278.0
sant pere santa caterina i la ribera,Barri,2015,1773.0
el fort pienc,Barri,2015,1715.0
la sagrada familia,Barri,2015,2805.0
la dreta de leixample,Barri,2015,1794.0
lantiga esquerra de leixample,Barri,2015,2076.0
la nova esquerra de leixample,Barri,2015,3026.0
sant antoni,Barri,2015,2189.0
el poble sec,Barri,2015,3237.0
la marina del prat vermell,Barri,2015,1460.0
la marina de port,Barri,2015,2362.0
la font de la guatlla,Barri,2015,8140.0
hostafrancs,Barri,2015,9810.0
la bordeta,Barri,2015,1151.0
sants badal,Barri,2015,1283.0
sants,Barri,2015,2389.0
les corts,Barri,2015,2433.0
