territori,tipus_de_territori,any,poblacio_total
la clota,Barri,2004,462
horta,Barri,2004,26684
vilapicina i la torre llobeta,Barri,2004,25758
porta,Barri,2004,23555
el turo de la peira,Barri,2004,15023
can peguera,Barri,2004,2105
la guineueta,Barri,2004,16079
canyelles,Barri,2004,7874
les roquetes,Barri,2004,15809
verdun,Barri,2004,12319
la prosperitat,Barri,2004,26902
la trinitat nova,Barri,2004,7904
torre baro,Barri,2004,2211
ciutat meridiana,Barri,2004,10116
vallbona,Barri,2004,933
la trinitat vella,Barri,2004,9015
baro de viver,Barri,2004,2365
el bon pastor,Barri,2004,11389
sant andreu,Barri,2004,54917
la sagrera,Barri,2004,28796
el congres i els indians,Barri,2004,13707
navas,Barri,2004,21785
el camp de larpa del clot,Barri,2004,38272
el clot,Barri,2004,26599
el parc i la llacuna del poblenou,Barri,2004,13219
la vila olimpica del poblenou,Barri,2004,8022
el poblenou,Barri,2004,28092
diagonal mar i el front maritim del poblenou,Barri,2004,8131
el besos i el maresme,Barri,2004,21805
provencals del poblenou,Barri,2004,17700
sant marti de provencals,Barri,2004,26769
la verneda i la pau,Barri,2004,30238
el raval,Barri,2005,47329
el barri gotic,Barri,2005,27129
la barceloneta,Barri,2005,15796
sant pere santa caterina i la ribera,Barri,2005,22843
el fort pienc,Barri,2005,30929
la sagrada familia,Barri,2005,52146
la dreta de leixample,Barri,2005,42439
lantiga esquerra de leixample,Barri,2005,41468
la nova esquerra de leixample,Barri,2005,58627
sant antoni,Barri,2005,38082
el poble sec,Barri,2005,39394
la marina del prat vermell,Barri,2005,1307
la marina de port,Barri,2005,29224
la font de la guatlla,Barri,2005,10114
hostafrancs,Barri,2005,15474
la bordeta,Barri,2005,18666
sants badal,Barri,2005,24264
sants,Barri,2005,39805
les corts,Barri,2005,46414
la maternitat i sant ramon,Barri,2005,24568
pedralbes,Barri,2005,11766
vallvidrera el tibidabo i les planes,Barri,2005,3739
sarria,Barri,2005,23379
les tres torres,Barri,2005,15343
sant gervasi la bonanova,Barri,2005,23730
sant gervasi galvany,Barri,2005,46144
el putxet i el farro,Barri,2005,28642
vallcarca i els penitents,Barri,2005,15493
el coll,Barri,2005,7138
la salut,Barri,2005,13199
la vila de gracia,Barri,2005,49783
el camp den grassot i gracia nova,Barri,2005,34743
el baix guinardo,Barri,2005,25482
can baro,Barri,2005,8980
el guinardo,Barri,2005,35344
la font den fargues,Barri,2005,9710
el carmel,Barri,2005,32679
la teixonera,Barri,2005,12084
sant genis dels agudells,Barri,2005,7132
montbau,Barri,2005,5284
la vall dhebron,Barri,2005,5690
la clota,Barri,2005,476
horta,Barri,2005,26641
vilapicina i la torre llobeta,Barri,2005,25715
porta,Barri,2005,23308
el turo de la peira,Barri,2005,15213
can peguera,Barri,2005,2120
la guineueta,Barri,2005,15863
canyelles,Barri,2005,7722
les roquetes,Barri,2005,15709
verdun,Barri,2005,12188
la prosperitat,Barri,2005,26727
la trinitat nova,Barri,2005,7970
torre baro,Barri,2005,2214
ciutat meridiana,Barri,2005,10283
vallbona,Barri,2005,977
la trinitat vella,Barri,2005,9297
baro de viver,Barri,2005,2382
el bon pastor,Barri,2005,11732
sant andreu,Barri,2005,55414
la sagrera,Barri,2005,28832
el congres i els indians,Barri,2005,13833
navas,Barri,2005,21727
el camp de larpa del clot,Barri,2005,38486
el clot,Barri,2005,26841
el parc i la llacuna del poblenou,Barri,2005,13194
la vila olimpica del poblenou,Barri,2005,8492
el poblenou,Barri,2005,29025
diagonal mar i el front maritim del poblenou,Barri,2005,8865
el besos i el maresme,Barri,2005,22067
provencals del poblenou,Barri,2005,17983
sant marti de provencals,Barri,2005,26584
la verneda i la pau,Barri,2005,29955
el raval,Barri,2006,47699
el barri gotic,Barri,2006,27556
la barceloneta,Barri,2006,15863
sant pere santa caterina i la ribera,Barri,2006,23240
el fort pienc,Barri,2006,31505
la sagrada familia,Barri,2006,52541
la dreta de leixample,Barri,2006,42888
lantiga esquerra de leixample,Barri,2006,41752
la nova esquerra de leixample,Barri,2006,59221
sant antoni,Barri,2006,38275
el poble sec,Barri,2006,40319
la marina del prat vermell,Barri,2006,1248
la marina de port,Barri,2006,29585
la font de la guatlla,Barri,2006,10157
hostafrancs,Barri,2006,15843
la bordeta,Barri,2006,18709
sants badal,Barri,2006,24545
sants,Barri,2006,40264
les corts,Barri,2006,46698
la maternitat i sant ramon,Barri,2006,24278
pedralbes,Barri,2006,11696
vallvidrera el tibidabo i les planes,Barri,2006,3878
sarria,Barri,2006,23330
les tres torres,Barri,2006,15301
sant gervasi la bonanova,Barri,2006,23694
sant gervasi galvany,Barri,2006,46492
el putxet i el farro,Barri,2006,28879
vallcarca i els penitents,Barri,2006,15669
el coll,Barri,2006,7203
la salut,Barri,2006,13159
la vila de gracia,Barri,2006,50227
el camp den grassot i gracia nova,Barri,2006,35140
el baix guinardo,Barri,2006,25857
can baro,Barri,2006,8945
el guinardo,Barri,2006,35370
la font den fargues,Barri,2006,9570
el carmel,Barri,2006,32610
la teixonera,Barri,2006,11926
sant genis dels agudells,Barri,2006,7136
montbau,Barri,2006,5270
la vall dhebron,Barri,2006,5664
la clota,Barri,2006,486
horta,Barri,2006,26526
vilapicina i la torre llobeta,Barri,2006,25724
porta,Barri,2006,23315
el turo de la peira,Barri,2006,15167
can peguera,Barri,2006,2128
la guineueta,Barri,2006,15695
canyelles,Barri,2006,7594
les roquetes,Barri,2006,15831
verdun,Barri,2006,12171
la prosperitat,Barri,2006,26770
la trinitat nova,Barri,2006,7958
torre baro,Barri,2006,2159
ciutat meridiana,Barri,2006,10498
vallbona,Barri,2006,1227
la trinitat vella,Barri,2006,9770
baro de viver,Barri,2006,2421
el bon pastor,Barri,2006,12041
sant andreu,Barri,2006,55524
la sagrera,Barri,2006,28829
el congres i els indians,Barri,2006,13905
navas,Barri,2006,21667
el camp de larpa del clot,Barri,2006,38898
el clot,Barri,2006,26869
el parc i la llacuna del poblenou,Barri,2006,13341
la vila olimpica del poblenou,Barri,2006,8657
el poblenou,Barri,2006,29580
diagonal mar i el front maritim del poblenou,Barri,2006,9284
el besos i el maresme,Barri,2006,22403
provencals del poblenou,Barri,2006,18190
sant marti de provencals,Barri,2006,26436
la verneda i la pau,Barri,2006,29791
el raval,Barri,2007,46061
el barri gotic,Barri,2007,27663
la barceloneta,Barri,2007,15646
sant pere santa caterina i la ribera,Barri,2007,22422
el fort pienc,Barri,2007,31121
la sagrada familia,Barri,2007,51801
la dreta de leixample,Barri,2007,42277
lantiga esquerra de leixample,Barri,2007,41213
la nova esquerra de leixample,Barri,2007,57998
sant antoni,Barri,2007,37788
el poble sec,Barri,2007,39453
la marina del prat vermell,Barri,2007,1205
la marina de port,Barri,2007,29430
la font de la guatlla,Barri,2007,10131
hostafrancs,Barri,2007,15612
la bordeta,Barri,2007,18649
sants badal,Barri,2007,24121
sants,Barri,2007,39799
les corts,Barri,2007,45965
la maternitat i sant ramon,Barri,2007,23912
pedralbes,Barri,2007,11502
vallvidrera el tibidabo i les planes,Barri,2007,3940
sarria,Barri,2007,23117
les tres torres,Barri,2007,15272
sant gervasi la bonanova,Barri,2007,23607
sant gervasi galvany,Barri,2007,46284
el putxet i el farro,Barri,2007,28662
vallcarca i els penitents,Barri,2007,15422
el coll,Barri,2007,7102
la salut,Barri,2007,13001
la vila de gracia,Barri,2007,49958
el camp den grassot i gracia nova,Barri,2007,34538
el baix guinardo,Barri,2007,25741
can baro,Barri,2007,8931
el guinardo,Barri,2007,35044
la font den fargues,Barri,2007,9599
el carmel,Barri,2007,32278
la teixonera,Barri,2007,11748
sant genis dels agudells,Barri,2007,7030
montbau,Barri,2007,5111
la vall dhebron,Barri,2007,5439
la clota,Barri,2007,457
horta,Barri,2007,26363
vilapicina i la torre llobeta,Barri,2007,25559
porta,Barri,2007,23508
el turo de la peira,Barri,2007,15047
can peguera,Barri,2007,2138
la guineueta,Barri,2007,15526
canyelles,Barri,2007,7511
les roquetes,Barri,2007,15657
verdun,Barri,2007,12100
la prosperitat,Barri,2007,26492
la trinitat nova,Barri,2007,8039
torre baro,Barri,2007,2104
ciutat meridiana,Barri,2007,10652
vallbona,Barri,2007,1255
la trinitat vella,Barri,2007,9812
baro de viver,Barri,2007,2417
